class,sentence
3,are you crazy take the boat
3,whoohoo
3,whoohoohoo whoohoohoo
3,if youre right lewis this mason is one hell of a pro he must have a service record and a paper trail some
3,yes sir
3,no sir
3,any of them richard long
3,they were all wearing hardware
3,alert seventyfifth rangers code blue tell them elvis has left the building
3,looks like it yes sir
3,is it
3,colonel vitelli we got a bustedin cold vault inside
3,forget about him
3,why is it you scientists can create implements of destruction
3,so far yeyes
3,and let me guess you failed
3,i began trying to find ways of controlling the effects of the weapon that we tested on horn island
3,all right after they put you away
3,almost quaint
3,went away i like that
3,went away
3,men every time ive closed my eyes but after you went away i
3,do you think i havent seen the bodies of those
3,always done richard
3,what rational man could fit in with the sorts of things our government was doing the sorts of things youve
3,years of thinking the matter over i began to see that the whole thing wasnt really my problem
3,you were right of course but after
3,do you remember telling me once that all through my career id never fit in well
3,together you gave me the opportunity to realize just how very wrong my life had gone
3,mmhm
3,grateful
3,and the government
3,oh im well aware of what the government did i assure you actually ive just come to say how grateful i am to you
3,that
3,i know where the blame belongs but i didnt put you in prison andrew the government did
3,me well you couldve saved yourself the trip
3,is that why youre here to blame
3,ple
3,not at all like a man responsible for the deaths of eighteen peo
3,you look fithealthy
3,you look good richard
3,no go
3,is this stool taken
3,theres nothing to say doctor someone had to take the fall and they still need you whereasive never been anything more than a thorn in their collective side as you once said
3,about
3,i wish they wouldve let me say something
3,andrew
3,its too
3,damn you long my people are out there your people are out there
3,youll kill us all
3,no
3,no
3,destroyer of worlds
3,i am become death the
3,lets proceed
3,all right one more shot provided were off the island tonight
3,you have my word on that
3,me if i thought there was any real danger ii wouldnt go forward
3,now i know you have moral objections to what were doing here but believe
3,now listen to me
3,but you have no choice but to follow orders
3,the united states into the kind of country were supposed to be fighting against
3,sittin here with our hands in the goddamn cookie jar and let me tell you something else i didnt join the service to let people like you turn
3,here and the white house is screaming about chemical weapons and were
3,the nsa thinks the un is onto your work
3,if it works your stock at the pentagon will go up along with mine i dont think i need to mention you could use the help
3,look this is a scientific experiment okay
3,bility
3,this isnt some kind of pissing contest long you may be in charge here but those men out there are my responsi
3,lar
3,you know captain if you hadnt spent so much of your career questioning your superiors you mightve found yourself with more gold leaf on your col
3,sweeney tells me you dont have computer confirmation
3,i dont work for you captain brynner
3,and i changed the schedule
3,to be off the island tonight
3,what the hell is all this about a detonation today were scheduled
3,tor long
3,doc
3,tell the choppers were lifting off
3,ill do it
3,and im warning you leo dont test me get your men and your machines off my radar screen in five or three million people will die
3,here
3,knowing you brynner youve got buyers waiting to buy youre not gonna use that
3,destry fair oaks
3,maybe even salt lake not to mention casper
3,or i may be wrong the breeze could be gusting south thatd be billings
3,hm the winds northwest that oughta beseattle
3,enworth ill have no compunction at all about using this
3,i lost all my squeamishness at leav
3,ians but i assure you leo
3,yeah i had a small problem with members of our side murdering civil
3,and i dont like deviations from plans leo as im sure you re
3,i checked your release date i never liked coincidences
3,as soon as i heard elvis was on the loose you came to mind
3,and i certainly cant say its pleasant
3,i cant say its a surprise
3,pleasant surprise
3,good to see you again leo
3,well lieutenant vitelli
3,brynner
3,happen if i drop this
3,do you know whatll
3,nothing has changed i assure you both the army still thinks we got elvis they had a tactical withdrawal its just those two amateurs now do you really want to concede a hundred million dollars to them
3,besides how are we gonna sell something we dont have
3,all right lets clear the mess and move out
3,theres nothing in here sir they got away with it
3,vaughn burke move to the end of the street fan out and work your way back to the motel
3,closin down sir
3,get em on line then stall long cant have gotten far
3,ext mountaintop day
3,int vitellis helicopter day
3,int postal van day
3,hit him again
3,int postal van day
3,hit him
3,int postal van day
3,carl establish contact with that deputy we met earlier hell be more useful now
3,int brynners van day
3,carl set up the camera
3,ext dam day
3,all right tell the pilot well be a halfhour
3,int helicopter day
3,of which we have more than enough
3,int hardware store day
3,and so missoulas prodigal son returns
3,
3,int ice cream truckcab day
3,you have no idea what youre in possession of do you
3,int brynners van day
3,dutiful citizens you have something which i have waited years for
3,int brynners van day
3,radio the bikes
3,
3,int darlenes store day
3,well it appears someones been lying to us
3,int darlenes store night
3,comes up that road
3,ext brynners van night
3,dennis radio the bikes i wanna know if so much as a squirrel
3,int brynners van night
3,move this is already affecting our schedule
3,int longs car night
3,
3,int us research laboratorystorage areafreezer vault night
3,this is it
3,int us research laboratorylongs office night
3,
3,ext fort leavenworth ten years later day
3,
3,stay put keep the camera trained on
3,im on it
3,sir
3,get em in the middle of the dam
3,having witnessed the effects myself i can assure you itll be very useful when the bidding starts
3,were gonna use them for demonstration footage
3,what about these two
3,here
3,i wanna patch in from
3,get your links set up
3,dennis
3,move
3,just when we have all the cards vaughn take these two behind the van
3,shit
3,prep the launcher now
3,you cant fire on them youre gonna detonate the crystals
3,vaughn get the mseventynine ready
3,no a pair of average citizens have decided to risk their lives for their country i almost remember what that feels like
3,ther orders
3,sir all potential customers have been informed of the delay fur
3,you have ten percent of a hundred million dollars comin your way i think we can impose on you for a little overtime
3,quick in and out
3,this was supposed to be a
3,check the immediate area
3,its clean
3,check it out
3,there
3,were in
3,vaughn
3,long went missing from the tech center this morning along with a very dangerous
3,thats right
3,richard long
3,general store
3,yeah hes wanted in connection with a death this morning at the jerome
3,you know the suspect
3,right tim mason
3,ty
3,to pursue a man whos stolen government proper
3,we were called in by the jerome base
3,mand out of fort bragg
3,im colonel brynner us special operations com
3,mind if you tell me whats goin on
3,officer pappas im glad youre here
3,carl dennis get out of sight
3,in missoula all we need to do is get to mason before anyone else does
3,this river ends at a hydro dam
3,theyll get a break tomorrow
3,out here captain dont you think the guys deserve a break
3,its a hundred degrees
3,gear
3,wheres their protective
3,you dont think its that bad do you sir i mean longs spent the last two years developing his defoliant the stuff cant even kill crabgrass yet
3,scientists
3,jesus chri were on a very slippery slope here sam a covert military operation riddled with civilian
3,noon
3,uh with all due respect sir dr long told me to prep the field for detonation at
3,screwup
3,what sam cant i go down to the loading dock for a few hours without coming back to find a major
3,but
3,yes captain brynner you did butbut
3,fall
3,hemmings sam i thought i told you to close up shop and be ready to move up the island by night
3,they took that life away and left me with nothing
3,
3,i wouldve in another life
3,youd never understand
3,why youre a nothing nobody why
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,checked
3,dead last time i
3,wheres elvis
3,no
3,
3,
3,
3,
3,
3,
3,
3,
3,it wont be long gentlemen
3,
3,
3,
3,
3,
3,
3,
3,him first
3,spite the mouth
3,and unharmed de
3,your fellow hero untouched
3,
3,bring him up
3,wheres arlo
3,tainer
3,its a little late for matinee heroics mason just give me the con
3,the river
3,you try anything it goes in
3,i dont see my container
3,then meet me at the dam in fifteen minutes
3,yeah im listenin
3,i got someone whos anxious to talk to you mr mason
3,hello
3,elvis is fuckin dead man get yourself some cds
3,and i cant guarantee the end will be quick
3,on this miserable road to nowhere
3,because if you dont give me that cylinder your lives will end
3,never done a thing for you
3,to die for a country thats
3,and ask a simple question are you actually prepared
3,i want you to look at one another
3,i dont know what the hell
3,your concern nor your fight relinquish the package and you can go
3,contrary to what dr long may have told you this is neither
3,yeah
3,like i say doc longs
3,should be right outside
3,odd then that his car
3,
3,though
3,not tonight
3,time to time yeah
3,doc long yeah i know him weirdo guy he comes in from
3,long
3,doc
3,assumptions are always dangerous
3,i assume you have one
3,actually i was just looking for a restroom
3,look like youre after something more dangerous
3,and a rifle you on the other hand
3,uh you wanna hunt outta season its cool with me but mostly well they just take a six
3,i beg your pardon
3,deer
3,quite a getup for jacking
3,dangerous
3,assumptions are always
3,i assume you want that to go
3,iced coffee
3,well then how about a cup of coffee darlene
3,lene
3,yeah they call me dar
3,is this your establishment
3,mornin
3,we gotta get help aw fuck damn
3,ready before the morning crowd blows in i got it
3,ready before the morning crowd blows in
3,two pots of coffee
3,like april it gives him gas and make sure theres two pots of coffee
3,and dont give him any ice cream
3,be sure you feed bosco
3,yeah
3,mm it doesnt take a genius
3,i can handle it
3,fore he closes which means youre gonna have to cover the grill and the floor
3,oh well i have got to get to the dentist be
3,time remember
3,darlene its fivethirty now i worked late for you this mornin and you didnt wanna spring for over
3,it
3,and then my night man shows up when he feels like
3,son of all the days for you to show up late first the idiot april calls in sick then i got a bad tooth
3,goddamn it ma
3,
3,and you aint gonna start now
3,you know i have yet to get a simple cup of coffee and a meal in this place darlene
3,
3,his i know yours i dont have a clue but if it wasnt for you i think hed have drifted right on through this town
3,ah
3,secrets
3,uh we both like to fish
3,theres something else too
3,somehow
3,hes smart enough to get you
3,well most of the time he looks like something the cat might have dragged in but you know
3,oh youre two of a kind doc oh he may not have your sheepskins and
3,oh no
3,story of my life well one thing you wont lose is that friend of yours back there ill tell you that
3,oh caught a few lost a few
3,ext dam day
3,kabulas out
3,geneva just pulled the plug
3,ext dam day
3,sir i got taipei grindin on me here how long is this supposed to ta
3,ext dam day
3,go
3,rangers
3,int darlenes store night
3,its after five
3,int us research laboratorycorridor night
3,you got thirty minutes
3,video lock
3,int tunnel day
3,tight
3,were gonna seal that tunnel i want it air
3,great all right
3,int tunnel day
3,major weve gotta seal that tunnel major
3,int vitellis helicopter day
3,fortynine
3,int vitellis helicopter day
3,no sign of em
3,int postal van day
3,now
3,hit it
3,negative negative
3,is elvis out
3,get ready to take it out
3,that tunnel
3,heres what i want you to do
3,whats going on colonel
3,
3,all right lets move
